"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_1238",-1.38474468782547,4.07973758690879,7.95255462951304,0.00810777235910085,0.0254220879390922,"argDa"
"SL1344_3418",-0.623077035477378,5.47995251186049,7.90653812210562,0.00814652688857144,0.0255253971505061,"yheN"
"SL1344_3324",-1.30890227548826,3.72680028690283,7.90149665110466,0.00816487333604005,0.0255646603883419,"oadA2"
"SL1344_3217",-1.04541199574965,4.24534582012299,7.89836139271109,0.00817630530366862,0.0255822335337561,"tdcA"
"SL1344_3977",0.620901677256018,5.89608456992613,7.89476497611792,0.00818943999920416,0.0256051054313666,"SL1344_3977"
"SL1344_2252",-0.709226711473275,5.93935842136083,7.86831574331608,0.00828673759780687,0.0258909015493667,"glpT"
"SL1344_4070",-0.574652733499489,5.89663711239128,7.86053184930523,0.00831560835791594,0.0259626522311069,"argE"
"SL1344_2429",-1.47357690612168,3.81113398523067,7.90192891061478,0.00837508799966331,0.0261297990394038,"eutD"
"SL1344_2443",-0.968632281703513,5.12404116336975,7.84565983862031,0.00845864390191643,0.0263530819226255,"narQ"
"SL1344_4271",0.37328269800643,9.17334347863294,7.82323017298828,0.0084554729277127,0.0263530819226255,"efp"
"SL1344_1499",-1.19460843127763,4.11344361570126,7.82049742068217,0.00846581865109224,0.0263567555171399,"fdnH"
"SL1344_1479",-0.947338469479323,4.50712844547396,7.81441532649972,0.00848889336375381,0.0264015365298258,"SL1344_1479"
"SL1344_2775",-1.30935896571185,3.73860937001767,7.81354153544432,0.00849221397933889,0.0264015365298258,"gabD"
"SL1344_0032",-1.74698336258112,3.11382663254629,7.78418051641255,0.00860461016308134,0.0267320609730781,"SL1344_0032"
"SL1344_1093",0.409466862863721,8.52658257917341,7.77520368055498,0.00863929316532469,0.0268208564652312,"yceA"
"SL1344_2980",0.573723651316076,6.85007794975857,7.77137491796287,0.0086541317945069,0.0268479628572,"lgt"
"SL1344_3021",0.41789614340711,6.95622844612414,7.76082754714709,0.00869515100054999,0.026956194498179,"fldB"
"SL1344_3806",0.395251082596232,11.0302248087177,7.74954879580028,0.00873924639757361,0.0270738034980505,"rpmH"
"SL1344_3784",-1.75342354831487,3.02544870312219,7.79221510787146,0.00880746896592561,0.0272659391367669,"ccmB1"
"SL1344_4229",0.77448696018251,6.28956520473812,7.86348397732199,0.00883244715924252,0.0273240237241591,"basR"
"SL1344_1111",0.538269107407131,7.59629970833703,7.73001933036051,0.00888230634461543,0.0274419652202354,"flgB"
"SL1344_4455",-0.504506205271531,5.86368017690975,7.71318645069271,0.00888305653057209,0.0274419652202354,"hsdS"
"SL1344_1024",0.547520860427961,7.84956062882829,7.74132098137776,0.00899979875123364,0.0277830865943982,"yccK"
"SL1344_1953",1.16339051809099,3.90701581516923,7.66639162105561,0.00907188944183546,0.0279859831482868,"SL1344_1953"
"SL1344_0966",-1.44824328865595,3.89685624405794,7.69250249384999,0.00914778543327616,0.0282003259219369,"nucD"
"SL1344_1991",0.460665523766256,6.7408950034035,7.64210897595223,0.00917157871200309,0.0282538612599619,"erfK"
"SL1344_3248",-1.61140082762763,3.2568155653679,7.6267732898533,0.00923514512921786,0.0284297604958275,"yhbV"
"SL1344_0802",-0.470365840404817,6.42785305439279,7.60309624777193,0.00933422068469264,0.0287146494960874,"ybiO"
"SL1344_0313",0.422562480681186,7.93386992304437,7.58400407541382,0.00941494533385514,0.0289427270542847,"gpt"
"SL1344_4195",-1.0399037566289,4.51254092926636,7.5735767115314,0.00945935126748309,0.0290589155638404,"siiC"
"SL1344_3475",0.643093551115468,5.70362346913292,7.5597717875092,0.0095184884718982,0.02922016433133,"SL1344_3475"
"SL1344_3024",-0.431862727286507,7.36630928456685,7.55713142878709,0.00952984450974843,0.0292346102336735,"ygfZ"
"SL1344_4194",-1.54579018156343,4.42846766276384,7.61859787912817,0.00957689812692342,0.0293584687349758,"siiB"
"SL1344_3803",0.436016182253294,7.34739388815205,7.5421017121684,0.00959476529118883,0.0293927444042273,"recF"
"SL1344_4231",-0.69801891537662,5.29818174836415,7.49745449722831,0.00979044652656139,0.0299713112331225,"adiC"
"SL1344_2067",-0.416207624445494,9.00091835021767,7.47432059272551,0.00989352713253546,0.030265793510526,"rfbH"
"SL1344_1586",0.476175294615545,6.48134420784255,7.46637470314867,0.00992920211686324,0.0303538056368086,"dbpA"
"SL1344_4197",-0.407845952432841,8.86159989039434,7.46157085244336,0.00995083742263744,0.0303988056357986,"siiE"
"SL1344_0177",-1.17713417490493,3.87952989975226,7.45442549910285,0.00998311234616311,0.030459616253934,"stiB"
"SL1344_2104",-0.718113223122147,5.39274064745086,7.45409647529774,0.00998460123337554,0.030459616253934,"yegN"
"SL1344_1840",0.406949532666141,7.32776327553923,7.43023474143326,0.010093220568426,0.030769623868794,"yecO"
"SL1344_0068",-0.570927120028564,6.26823692656046,7.40181683648504,0.0102242450104995,0.0311474574263035,"carB"
"SL1344_1772",-0.610958169191343,6.00852476720016,7.39147176984714,0.0102723967536402,0.0312724765436303,"SL1344_1772"
"SL1344_2315",0.460044889737343,7.16452211997735,7.37257946359785,0.01036096454865,0.0315202769244742,"SL1344_2315"
"SL1344_2670",-1.83746992865623,2.85007924965215,7.36407685378814,0.0104010935471562,0.0316204752650752,"gpE"
"SL1344_2337",0.518745251501881,6.68567080540292,7.35613657455195,0.0104387199872308,0.0317129323178068,"truA"
"SL1344_1775",0.330215058325429,8.81949166609475,7.33683300450499,0.0105308072247158,0.0319492081338556,"proQ"
"SL1344_2310",-1.50049280342082,3.27604431662454,7.33678677810552,0.0105310287957135,0.0319492081338556,"SL1344_2310"
"SL1344_2489",-0.754034717129047,4.82999324906418,7.3337507139586,0.010545592186199,0.031956277949561,"SL1344_2489"
"SL1344_2490",-1.65896043218038,3.03042973190793,7.33327044472465,0.0105478979310312,0.031956277949561,"SL1344_2490"
"SL1344_4449",0.541967807101746,5.96278267726755,7.3287791648912,0.0105694866502858,0.0319996303819948,"SL1344_4449"
"SL1344_3979",0.807577846549727,5.27680161818504,7.32412691294147,0.0105918994055576,0.0320454162331943,"SL1344_3979"
"SL1344_4085",0.400593101148759,12.9842664946559,7.32256498109976,0.0105994356837004,0.0320461618057406,"tufB"
