"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"ydiD",-0.0516907171924996,4.92754302154446,0.0400024952942278,0.842676054552359,0.896082229272417,0.896082229272417
"yqhD",0.0451992496633522,5.45621070138878,0.0394987723208236,0.843656295923373,0.896907636488306,0.896907636488306
"cvrA",-0.0264603291036542,7.16525081606942,0.0393862824737036,0.843876087445513,0.896924390814912,0.896924390814912
"cueO",-0.0553168142592686,5.76695715277132,0.0392954353530723,0.844137692005232,0.89698556781605,0.89698556781605
"yajB",-0.0360780502628744,6.49532477848389,0.039024857942639,0.844584486065031,0.897243451121768,0.897243451121768
"cdd",-0.055872022018241,4.94857865195254,0.0388886941904442,0.844852253969657,0.897311067516456,0.897311067516456
"sciV",0.077649820007718,3.9527121867044,0.0376986859008927,0.847213472945073,0.899288356994632,0.899288356994632
"SL1344_2586",0.0643190401508413,4.30104275076176,0.037641626960722,0.847327655748809,0.899288356994632,0.899288356994632
"imm",-0.0505162910128895,5.29449308228292,0.0377795866276579,0.847051733188339,0.899288356994632,0.899288356994632
"hutC",0.062315974896079,4.69838860082177,0.0367777246089889,0.849067549557271,0.900523404358237,0.900523404358237
"SL1344_1811",-0.0624927139251132,5.03620632492378,0.0367588027168435,0.849105894236781,0.900523404358237,0.900523404358237
"SL1344_2702",-0.0824615902701121,3.6607822501955,0.0421404642255952,0.848839871595904,0.900523404358237,0.900523404358237
"traW",-0.0646137688228459,4.48660792547615,0.0363002714092545,0.850038245419511,0.901294772519096,0.901294772519096
"glnA",-0.023955115900646,7.952511601062,0.0354404349342253,0.851803200591255,0.902948365034761,0.902948365034761
"yejG",-0.0313047966650282,7.13349653144075,0.0348719242181995,0.85298237653257,0.903766565948828,0.903766565948828
"SL1344_3051",-0.0481089793763089,5.03464395187713,0.0348700725272986,0.852986233421676,0.903766565948828,0.903766565948828
"fic",0.0787232490740077,3.92555517472705,0.0344811023641208,0.853798784405219,0.904409507528998,0.904409507528998
"SL1344_0099",-0.0645202963164011,4.11808121969514,0.0342185790720588,0.854349875688831,0.904641873949681,0.904641873949681
"SL1344_1022",0.0548938424622955,4.71513814090612,0.0341806285335408,0.854429722620354,0.904641873949681,0.904641873949681
"katE",0.0633744878147102,5.0437862236269,0.0334139627726897,0.856052701649432,0.905923850854815,0.905923850854815
"fliZ",0.033972760798869,6.83964977423253,0.0334648539144835,0.855944375441947,0.905923850854815,0.905923850854815
"pgpB",-0.0515951899277151,4.85487712527516,0.0418094295481659,0.85815740768168,0.90771413959785,0.90771413959785
"yqiK",-0.0328039826200375,5.99396930564486,0.0324836362180222,0.858048225287803,0.90771413959785,0.90771413959785
"wcaD",-0.0718717338790341,3.81207057343594,0.0316101143789014,0.859948966008187,0.909390342692324,0.909390342692324
"SL1344_0432",0.0478295579697447,5.17252745284873,0.0314987802115618,0.860193162820593,0.909429808503927,0.909429808503927
"htrB",-0.0250056139826255,7.3361045588174,0.0312894397325083,0.860653533015651,0.909697747327915,0.909697747327915
"ribD",-0.0282335560545736,7.16299743592171,0.0311668252542081,0.860923918575018,0.909764794724947,0.909764794724947
"SL1344_1201",-0.0422274689284545,5.7827516287854,0.0307634370382109,0.861817352373978,0.910158011645692,0.910158011645692
"xylB",0.0493444557310637,5.48795542972173,0.0308771079845534,0.861564982759225,0.910158011645692,0.910158011645692
"RyhB-1",-0.10529220350912,8.90400620475788,0.0310301551017833,0.861917152520704,0.910158011645692,0.910158011645692
"ynaI",-0.0419082487574796,5.16923161858504,0.030276663998385,0.86290355317659,0.910980792450598,0.910980792450598
"SL1344_P3_0002",0.0281400107222636,7.41168395759829,0.0299172868283826,0.863711268349557,0.911614582392473,0.911614582392473
"SL1344_0836",0.0381871226800112,5.80701791629615,0.0298009054485169,0.863973911288886,0.911672903030711,0.911672903030711
"yfiK",0.0436618210428304,4.52609468887128,0.0295368301396468,0.865140162858989,0.912684462665734,0.912684462665734
"yjfC",-0.049962343451443,4.42626452406363,0.0288600455090837,0.86611689124946,0.913495646337003,0.913495646337003
"ilvN",-0.0931944118692043,3.53721604043934,0.0280763152708448,0.867929601122761,0.915187941121529,0.915187941121529
"mrdB",-0.0253648910371462,7.05183904026453,0.0275983258407058,0.869047958608013,0.915708251687638,0.915708251687638
"ydhI",0.0703610664973215,3.6392423340888,0.0290068120392876,0.868970194264883,0.915708251687638,0.915708251687638
"yqgA",0.0571112532225254,4.27601458736186,0.0277371462766386,0.868722139300087,0.915708251687638,0.915708251687638
"yeiE",-0.0269655504045547,5.83403342490517,0.0271354512155952,0.870140484414462,0.916639724295704,0.916639724295704
"SL1344_3516",-0.076377720197257,3.74762341020884,0.0269713957518508,0.870530002122725,0.916830352020005,0.916830352020005
"yliC",-0.0376320006349321,5.17135304487245,0.0267960679335955,0.871090018693385,0.917001903748376,0.917001903748376
"SL1344_0938",-0.0565349453805651,4.12499307222729,0.0267280247223968,0.871110088729122,0.917001903748376,0.917001903748376
"livJ",-0.04364163581681,5.2582073334267,0.0368741450101652,0.872006855487621,0.917726151956807,0.917726151956807
"hypE",0.0376878497159572,5.58349356237214,0.0261524417361216,0.872492909713736,0.917798236683796,0.917798236683796
"STnc760",0.0509707900280147,4.29723709676517,0.0261571471911654,0.872481541981211,0.917798236683796,0.917798236683796
"SL1344_2175",0.0546507935095985,4.95998357625286,0.0258061631602987,0.873332372433766,0.918424126333524,0.918424126333524
"SL1344_3703",-0.0459704770888563,4.64977939978732,0.0257349404978706,0.873505748908204,0.918424126333524,0.918424126333524
"ygiF",0.0251837448313148,6.5087405630105,0.0256098371966738,0.873810883612259,0.918525261683283,0.918525261683283
"iadA",-0.03530656852632,5.5714207081961,0.025233823359314,0.874732637688594,0.919274366550098,0.919274366550098
"yajO",-0.0360412374205164,5.53164491986813,0.0250564101656504,0.875169991806572,0.919514169211685,0.919514169211685
"SL1344_3871",-0.0665801555443162,3.55911508697202,0.0248087429556974,0.87578319897824,0.919938576513343,0.919938576513343
"SL1344_3989",0.0464941661629282,5.24931786119692,0.0244712492598359,0.87662388579461,0.920601672707384,0.920601672707384
"gtrAa",-0.240987172493847,6.17315330383496,0.0244564477954109,0.877276820808582,0.921067328462987,0.921067328462987
"yhdV",-0.0324239409936139,6.51286998799412,0.0241042802036735,0.877544767439898,0.921128652737773,0.921128652737773
"yjeE",-0.0383495059210499,5.03955675582046,0.0239294346735118,0.877986056028518,0.921371855407345,0.921371855407345
"putA",-0.0289448316877631,6.43754319064763,0.0237836069102024,0.878355372367043,0.921539431247141,0.921539431247141
"sirC",0.0346144049478974,5.58967430141985,0.0233646251816514,0.879422966488235,0.922439360697276,0.922439360697276
"panF",-0.0243300358923016,6.73413564971852,0.0232463869256452,0.879726015977737,0.92253711026673,0.92253711026673
"putP",0.0271051836744628,7.03530001542242,0.022741138349875,0.881029965685406,0.923365452056493,0.923365452056493
"eco",-0.0372007883016224,5.41396182894829,0.0227591437533001,0.880983243907749,0.923365452056493,0.923365452056493
"creD",0.0519426429002913,4.65946600180671,0.0331693054536069,0.881146058093036,0.923365452056493,0.923365452056493
"ompL",-0.0599273852191222,5.58627882201259,0.0226063209247294,0.881652944871667,0.923676440814073,0.923676440814073
"yecM",-0.0393370925175598,5.29959155521593,0.0218431824867473,0.883384538599462,0.924389057767968,0.924389057767968
"rfaJ",0.0347441623353395,6.11727212295274,0.0220614943674699,0.882807605926099,0.924389057767968,0.924389057767968
"dsdA",0.0309200869680359,6.36194447386902,0.0218983032807482,0.883238593736781,0.924389057767968,0.924389057767968
"SL1344_4051",0.0394206192824794,4.9253580076144,0.021925203757271,0.883167436792268,0.924389057767968,0.924389057767968
"idnT",-0.0466510262078367,4.48152374375306,0.0219943467554906,0.882984744791054,0.924389057767968,0.924389057767968
"SL1344_1546",0.0608506202501309,3.80260711068487,0.0214017099273791,0.884560295538566,0.924960973390884,0.924960973390884
"SL1344_1588",-0.0286598379209749,5.89390727490658,0.0214196954271661,0.884512154563982,0.924960973390884,0.924960973390884
"SL1344_2789",0.0595629991905746,5.06827562627551,0.0214281111385132,0.88456231395252,0.924960973390884,0.924960973390884
"frsA",0.0252612522495939,6.70023656209607,0.0213067167173939,0.884814903211519,0.925005068850853,0.925005068850853
"SL1344_2214",0.0370351145159452,5.43409157505005,0.020900143149566,0.885911240546908,0.925931006525014,0.925931006525014
"flgK",-0.037486649441761,8.19079198735066,0.0205617899539988,0.887135994972994,0.926580814627957,0.926580814627957
"pmrF",0.0295034027343139,6.34743990759045,0.0204399839479266,0.887165297718169,0.926580814627957,0.926580814627957
"prgH",0.0622155373977249,7.11539449041613,0.0206948876663676,0.886970443782422,0.926580814627957,0.926580814627957
"SL1344_1165",-0.0300875388735769,6.00720312789652,0.0200389096149378,0.888270140502091,0.927514379488644,0.927514379488644
"ycfS",-0.0276371889201262,6.10773450260852,0.0194779486045174,0.889834528844876,0.928927235526496,0.928927235526496
"fimZ",-0.0660671101450823,3.47108540987675,0.0191206030220392,0.890843089997969,0.92953862417068,0.92953862417068
"sitC",-0.108815878795033,4.76550099005503,0.0193343034258851,0.890683373684501,0.92953862417068,0.92953862417068
"flgD",-0.0307656091253095,6.58453388164159,0.0190159900385464,0.891182307822265,0.929671909156781,0.929671909156781
"hypB",0.054244963335065,4.33668209999277,0.0296517490377484,0.891434479715164,0.929714347052873,0.929714347052873
"kdpD",0.0227186428314407,6.80485941446748,0.0187081424506294,0.89201922892573,0.930103541356145,0.930103541356145
"hutG",-0.0435924615150257,4.32442448553858,0.0185995594654941,0.892331047387869,0.930208035171229,0.930208035171229
"ytfG",-0.0524758298079227,3.88236461248658,0.0184370095532288,0.892799581860383,0.93047580888057,0.93047580888057
"SL1344_0976",-0.0845994730773816,3.08861379225049,0.0181686676418968,0.893577680236397,0.931066006712302,0.931066006712302
"ybhR",-0.0348556630848423,5.09567204716547,0.0226271949850671,0.894448204883234,0.931531463792158,0.931531463792158
"yecC",-0.0299866168999489,5.20986199040852,0.0178917671274519,0.89438675697136,0.931531463792158,0.931531463792158
"nfnB",0.031430463150387,5.70808627012318,0.0169444614921324,0.897204037966214,0.933959022235254,0.933959022235254
"lysC",-0.0247456966188401,6.16022758269979,0.0169983773433788,0.897041573900301,0.933959022235254,0.933959022235254
"bcfH",-0.0358687361791714,5.11405787723847,0.0163194817930534,0.899106820175467,0.93534455999018,0.93534455999018
"pgsA",-0.026772624705152,6.10215167847726,0.0162713683127685,0.899254828079089,0.93534455999018,0.93534455999018
"yfbU",-0.0284627500600863,5.46822266039893,0.0164222607442083,0.898791390298129,0.93534455999018,0.93534455999018
"SL1344_4127",0.0216205584049183,6.63276293250188,0.0162287439222174,0.899386136278091,0.93534455999018,0.93534455999018
"hydA",0.0182212443778108,6.63628227352661,0.0158629275269262,0.900520352269786,0.936104594294628,0.936104594294628
"fmt",-0.0150765684942565,9.11539343334632,0.0157875248416289,0.900755785683867,0.936104594294628,0.936104594294628
"basR",0.0370690636994131,6.28956520473812,0.0158408139734036,0.900696134208792,0.936104594294628,0.936104594294628
"mntH",-0.032808897142703,5.98814173899055,0.0154881797846926,0.901743297005155,0.93647445954186,0.93647445954186
"iolG2",-0.0340050279533343,5.06762514427839,0.0154708748655055,0.90175077052791,0.93647445954186,0.93647445954186
"srgC",-0.0227535118201629,6.45974271052827,0.0155637232379871,0.901457956771593,0.93647445954186,0.93647445954186
"SL1344_4252",0.0502464761301754,3.99757406078055,0.0150414414987108,0.903116822352942,0.937671599211983,0.937671599211983
"ycjG",-0.0275196724736646,5.54492690320861,0.014688481411758,0.90425450720128,0.93863112483042,0.93863112483042
"sitA",-0.0819538695752961,5.36867574719711,0.0147516518597519,0.904472166184762,0.938635420809304,0.938635420809304
"SL1344_2549",-0.0470417812388852,4.15835293829119,0.0164015880778125,0.905053190720549,0.938795145447743,0.938795145447743
"dkgA",0.0347383110177193,5.15527261010959,0.0144680054630864,0.904972212863893,0.938795145447743,0.938795145447743
"SL1344_2111",0.0323535216028246,4.86218929983189,0.0143694075918988,0.905294969587737,0.938824412905801,0.938824412905801
"SL1344_0887",-0.02755705452397,5.32289036997539,0.0141666915989293,0.905962102574143,0.939043398746559,0.939043398746559
"sipA",0.0269004279746031,6.98527590661392,0.0142451693218552,0.905762318663372,0.939043398746559,0.939043398746559
"tas",-0.0273642849402443,5.82070445884049,0.014110774855866,0.906146973949705,0.939043398746559,0.939043398746559
"rlgA",-0.016852622563391,8.24570461426449,0.0139545387727374,0.906665498874241,0.939359305456319,0.939359305456319
"SL1344_3765",-0.0337789565712491,4.89988889965053,0.013456868516593,0.908337123273227,0.940869461335793,0.940869461335793
"cutC",-0.0430592429473355,4.59608573658846,0.0130511159745211,0.909723340535642,0.9420833462885,0.9420833462885
"yieN",-0.015300400295455,7.24431396297624,0.0128862785900943,0.910292722996254,0.942450968038515,0.942450968038515
"SL1344_1300",0.0354427801187722,4.52073649469542,0.0125152889430858,0.911587850193678,0.943426908781145,0.943426908781145
"glgX",0.0228530703173589,5.64654432878959,0.0124934809247043,0.91166458337177,0.943426908781145,0.943426908781145
"ppiA",-0.0215743432077273,7.04692521892546,0.0119513695776476,0.913594319186275,0.945201371415125,0.945201371415125
"ybdG",-0.0214779969805143,5.64684981891154,0.0114876484355618,0.915280472808327,0.946723049050684,0.946723049050684
"SL1344_P1_0082",0.0394435684990685,3.91401979255549,0.0113245261306242,0.91588177305371,0.947122153456624,0.947122153456624
"sspA",-0.0144344824238144,7.99427308077992,0.0112587606031191,0.916125435922766,0.947151320864647,0.947151320864647
"yhaJ",0.0198365024262714,6.29540730164124,0.0111872804592386,0.916391089452037,0.947203204615837,0.947203204615837
"yfhH",0.0297030453382132,4.93429917340725,0.0109626067895401,0.917231718973016,0.947779874347785,0.947779874347785
"SL1344_P2_0102",-0.0426118260795467,3.90505667747264,0.0109231616342479,0.91738020139896,0.947779874347785,0.947779874347785
"gntK",0.0292681886414925,4.1917029254484,0.0107590736084539,0.918000802938518,0.948198197772022,0.948198197772022
"yafP",-0.0419615225842487,4.07972216039893,0.0106990666320584,0.918228950603542,0.94821105634324,0.94821105634324
"SL1344_1627",-0.0211316286302318,5.99847946339523,0.0105396669187391,0.91883815176681,0.948394579752735,0.948394579752735
"yheR",0.0365970932337724,4.54516005061387,0.0159232121998762,0.918773414989906,0.948394579752735,0.948394579752735
"rfaK",0.0193139469956935,6.13106303049391,0.0103680274459532,0.919499361437893,0.948854270629337,0.948854270629337
"SL1344_0405",0.0474576464037926,4.05559972746591,0.0102450980563508,0.919976330354287,0.949123667739368,0.949123667739368
"fieF",0.0157631209145048,7.52570039135189,0.010143404578556,0.92037309341224,0.949310210849415,0.949310210849415
