"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"fepD",-0.219616990478697,6.64211205459353,1.27966585417041,0.265936071797198,0.422277744998456,0.422277744998456
"sicA",0.750690217481252,5.15794021667437,1.30557898895542,0.265830241163453,0.422277744998456,0.422277744998456
"yqeF",0.327121850522121,4.53190129468729,1.29613243623409,0.26563342562505,0.422277744998456,0.422277744998456
"blc",0.399211044038025,3.98565349006618,1.43450835970475,0.265714883826587,0.422277744998456,0.422277744998456
"thrS",0.126980893526313,8.80557476019527,1.27588902874627,0.266629786691773,0.422989730168544,0.422989730168544
"def",0.168307139418792,8.31031843156886,1.27631563234051,0.266551313003831,0.422989730168544,0.422989730168544
"SL1344_3616",0.494416617687446,3.79939639230516,1.27504960064382,0.266784286230359,0.423082150890569,0.423082150890569
"yggW",-0.207146508616486,7.02074709115448,1.26827244163719,0.268035876268566,0.424913707925213,0.424913707925213
"yaeP",-0.218700527331784,7.63852819205515,1.26791679064333,0.268408550310879,0.425334990130129,0.425334990130129
"cspC",0.20479102673839,7.6391290676372,1.26579586432969,0.268495131394701,0.425334990130129,0.425334990130129
"SL1344_0952",0.337619965627466,5.17512804737062,1.26175880328417,0.269245938501962,0.426242663709494,0.426242663709494
"galR",-0.197817250203101,6.25625322058586,1.26167244711323,0.269262028462526,0.426242663709494,0.426242663709494
"sciW",0.447752121984794,4.05455106525571,1.25932648289477,0.269699605599292,0.426781665303991,0.426781665303991
"pstB",-0.266444941302036,5.35442932280459,1.25715105812447,0.270106193415014,0.427271258097302,0.427271258097302
"SL1344_4435",0.468847736104406,3.82680691314682,1.25335464258307,0.270817642432475,0.428242574148618,0.428242574148618
"yaiB",0.195724645488324,7.87114879550784,1.25223108388575,0.271028661555275,0.428422148938148,0.428422148938148
"bcfG",-0.510385647525178,3.7883798186006,1.25138579102555,0.271187558724199,0.428519233699346,0.428519233699346
"SL1344_0043",0.483779965417438,4.40338381104843,1.24642763546418,0.272122015312894,0.429532631711125,0.429532631711125
"sodB",0.25757197742768,6.4022715511206,1.24895197642583,0.272093315531381,0.429532631711125,0.429532631711125
"bacA",0.199187915807628,7.4982853479683,1.24719622766498,0.271976887503396,0.429532631711125,0.429532631711125
"flgE",-0.190148068579487,7.13648096389229,1.24486533167154,0.272417322867394,0.429844418996792,0.429844418996792
"SL1344_2665",-0.341490305865491,4.60777195222916,1.24312102615972,0.272747522463879,0.430211018568788,0.430211018568788
"torD",0.496602285783469,3.76902033822682,1.24219127251808,0.272923737780392,0.430334559283574,0.430334559283574
"cirA",0.362305179028968,9.23343423990482,1.25864054356702,0.273862423712612,0.43165981163164,0.43165981163164
"ykgC",0.258294189987852,5.57369226096918,1.22986239659453,0.275274418416346,0.433717076002828,0.433717076002828
"yfeY",-0.273568596448778,5.37691948427968,1.22939026002841,0.275364958854389,0.433717076002828,0.433717076002828
"mdlA",-0.178795214007294,6.56893495408854,1.2263289562648,0.27595295559944,0.434487533243244,0.434487533243244
"SL1344_1480",-0.332772627465413,4.99114789579034,1.22532833075815,0.276145502938624,0.434635027181594,0.434635027181594
"gltI",0.294358358180337,5.39321294157792,1.22192497322102,0.276801707514428,0.435200395648579,0.435200395648579
"iap",-0.282177353381994,5.46451704553835,1.22241987248406,0.276706159814062,0.435200395648579,0.435200395648579
"yhhQ",-0.177163216363634,8.54818973455684,1.22192509335705,0.276801684315172,0.435200395648579,0.435200395648579
"ytfF",0.324002811202729,5.36127299661354,1.22120952254649,0.276939911721401,0.435262013559986,0.435262013559986
"fmt",-0.132928908817528,9.11539343334632,1.21915017030181,0.277338219159064,0.435732241395012,0.435732241395012
"yecM",-0.303530137147651,5.29959155521593,1.21823342881281,0.277515769156402,0.435855420225631,0.435855420225631
"nudC",0.18650451014692,7.10546412591044,1.21588238099107,0.277971784289145,0.436415701333958,0.436415701333958
"fic",-0.510649512771316,3.92555517472705,1.21477842623934,0.278186246221804,0.436440663237348,0.436440663237348
"groES",0.140170232563522,9.4068149869789,1.21500080652065,0.278143027781404,0.436440663237348,0.436440663237348
"ybhR",-0.262824568686985,5.09567204716547,1.21103645232839,0.278914790983505,0.437271548203812,0.437271548203812
"yfbB",-0.375729026601305,4.44186983344484,1.21126398968132,0.278870419701955,0.437271548203812,0.437271548203812
"rplW",-0.20735839280418,9.01335353956738,1.21007921406954,0.279523317158271,0.438069341257668,0.438069341257668
"rimJ",0.288916687963363,5.23111285062345,1.20580083231863,0.279938314605876,0.438340245547273,0.438340245547273
"SL1344_1517",-0.177596556087257,8.37635024769594,1.20619544795358,0.279861000037845,0.438340245547273,0.438340245547273
"ygbE",0.582410940339046,3.74099759901849,1.205509986145,0.279995316082061,0.438340245547273,0.438340245547273
"yiaE",-0.203155572808141,5.79973159410774,1.20480422434822,0.280133697647561,0.438400760006649,0.438400760006649
"invI",0.455641861514445,4.00395212725529,1.19945939458869,0.281184578482621,0.439888756942918,0.439888756942918
