"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_1070",0.299411493402123,5.23270969627167,0.606809559542149,0.441530027752981,0.757893792269467,0.757893792269467
"SL1344_2578",-0.206076789181662,5.01399562498961,0.606875051161869,0.441395515595949,0.757893792269467,0.757893792269467
"proY",-0.115063698703542,8.06516198627191,0.602679546762101,0.442964653025363,0.757997963900735,0.757997963900735
"SL1344_3128",0.204998497626094,7.22577480360143,0.607059511812539,0.442704634502727,0.757997963900735,0.757997963900735
"metC",-0.163100145077821,5.67057769927743,0.611260854841736,0.442440316608876,0.757997963900735,0.757997963900735
"yqjI",-0.138415560285688,6.01706913754937,0.603803279498736,0.442543511151752,0.757997963900735,0.757997963900735
"tdcD",0.326981857429475,4.31412527567173,0.604599835234568,0.442245367695739,0.757997963900735,0.757997963900735
"SL1344_3989",0.235280680914537,5.24931786119692,0.60506770424563,0.442070396157329,0.757997963900735,0.757997963900735
"SL1344_4051",-0.220646391386213,4.9253580076144,0.602664896474846,0.442970147693582,0.757997963900735,0.757997963900735
"yjeK",0.154672102384739,6.08576735746692,0.60540505836765,0.441944301636457,0.757997963900735,0.757997963900735
"gpmA",-0.126113154417754,9.19599499391889,0.601701641797487,0.443331657565922,0.758026435884789,0.758026435884789
"yfcZ",-0.168091331049918,6.08938369592313,0.601893623197525,0.443259569735711,0.758026435884789,0.758026435884789
"yehW",-0.235055105242227,4.77582712202349,0.601186462942771,0.443525195513592,0.758062503684973,0.758062503684973
"nagD",-0.152754114481607,7.16586406242432,0.596630386198268,0.445242608497855,0.758332480879091,0.758332480879091
"hutG",-0.26486606116654,4.32442448553858,0.596192550925427,0.445408204192405,0.758332480879091,0.758332480879091
"SL1344_0892",0.12031433049031,7.88650537401868,0.597999076456394,0.444725577590083,0.758332480879091,0.758332480879091
"hyaA2",0.389865114082674,4.06961833239068,0.597536362144977,0.444900264366603,0.758332480879091,0.758332480879091
"ipk",-0.127948618995363,7.89975279237552,0.597933301821166,0.444750402623866,0.758332480879091,0.758332480879091
"nuoB",-0.151168719493398,6.79274175481809,0.596315815764568,0.445361573772449,0.758332480879091,0.758332480879091
"bcp",-0.144842331278231,6.41447572991278,0.597640696081815,0.444860866096671,0.758332480879091,0.758332480879091
"pmgI",0.124876740561341,6.82370737285034,0.599927074374205,0.443998873736568,0.758332480879091,0.758332480879091
