"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_4135",-0.203976438580646,5.23111576623,0.485765658791019,0.490595774905161,0.999366524090095,0.999366524090095
"SL1344_4136",-0.697394167020995,3.80654249271887,1.07109461445824,0.308057818657982,0.999366524090095,0.999366524090095
"SL1344_4139",-0.0393609874592751,6.91555495564605,0.0550875721075074,0.815854075248167,0.999366524090095,0.999366524090095
"gtrBb",0.0478895762582831,9.77790525301378,0.0950864757078109,0.759703103715758,0.999366524090095,0.999366524090095
"gtrAb",0.0144623774113566,5.16605855245449,0.00140691662453388,0.970301609656672,0.999366524090095,0.999366524090095
"SL1344_4142",0.0559629131007047,3.7437066661888,0.0162634879955533,0.899279090904474,0.999366524090095,0.999366524090095
"SL1344_4143",0.547598520181577,3.82838886190213,1.22426168877135,0.276350945685627,0.999366524090095,0.999366524090095
"SL1344_4144",0.777700517285572,3.22199064089645,1.68957080270397,0.202466176581109,0.999366524090095,0.999366524090095
"SL1344_4145",-0.906590076964009,3.46048828049089,2.64813312682593,0.133396550147014,0.999366524090095,0.999366524090095
"SL1344_4146",0.267886571016467,4.33032106449013,0.652700425624298,0.453261868285359,0.999366524090095,0.999366524090095
"SL1344_4147",0.713331633211135,3.57550762804467,1.5592326221743,0.220370614947027,0.999366524090095,0.999366524090095
"SL1344_4149",-0.620582696578892,7.00487886624581,1.99561952300578,0.169992481948412,0.999366524090095,0.999366524090095
"SL1344_4151",0.648540886318172,3.60860039440318,1.34337659973399,0.254574993224608,0.999366524090095,0.999366524090095
"SL1344_4153",0.843310840982873,3.2906488155994,1.63823836756867,0.209296195079606,0.999366524090095,0.999366524090095
"lysC",0.117831598451777,6.16022758269979,0.385161916798703,0.539022498281151,0.999366524090095,0.999366524090095
"pgi",-0.0552398574550399,7.9774424107961,0.166017030695498,0.686249282438055,0.999366524090095,0.999366524090095
"yjbE",0.345189267184639,4.66466477852212,1.03407348855009,0.316439028005913,0.999366524090095,0.999366524090095
"yjbF",-0.96291676444838,3.4043678546308,1.57064860468619,0.218726478268923,0.999366524090095,0.999366524090095
"malG",0.367026898892027,5.01764476190577,1.74245113502167,0.195712582347272,0.999366524090095,0.999366524090095
"malF",-0.252976431395685,6.30313302033851,0.323653390234293,0.574528313060345,0.999366524090095,0.999366524090095
"malE",-0.436513748392615,5.51736097813481,0.882161906343766,0.355009035535807,0.999366524090095,0.999366524090095
"malK",0.42492422427594,6.38610082939909,0.292637198237053,0.593878261366928,0.999366524090095,0.999366524090095
"malM",0.0561277040543766,4.78741806103563,0.017110334533947,0.896705049790131,0.999366524090095,0.999366524090095
"ubiC",0.126041775281454,6.64095009552647,0.448646862965578,0.507535651223699,0.999366524090095,0.999366524090095
"ubiA",0.0532557909577013,6.61547134272405,0.110097825355328,0.74208473061277,0.999366524090095,0.999366524090095
"plsB",-0.100734829045881,8.84088984117058,0.761113562469454,0.389145261042378,0.999366524090095,0.999366524090095
"dgkA",0.0971801916224914,5.52070127103602,0.140338441453908,0.710288601226196,0.999366524090095,0.999366524090095
"lexA",0.0315294855714778,9.19739711926492,0.0557451721804113,0.814778952102611,0.999366524090095,0.999366524090095
"dinF",0.0844026772220528,7.19739277140472,0.289149080596363,0.594294882606654,0.999366524090095,0.999366524090095
"yjbJ",0.0984931201871296,7.18422656701048,0.313337346217112,0.579336169980427,0.999366524090095,0.999366524090095
"zur",-0.0170461132245225,6.93508901085017,0.0109531515581904,0.917267286418393,0.999366524090095,0.999366524090095
"SL1344_4178",0.308004462814441,5.24092837615247,1.22525157758397,0.276160279519087,0.999366524090095,0.999366524090095
"yjbN",-0.023682469165784,8.20472728934658,0.0261530483291597,0.872491444209383,0.999366524090095,0.999366524090095
"pspG",-0.166519575168243,4.36605972993626,0.218043806952781,0.643535272926827,0.999366524090095,0.999366524090095
