"","S1","S11","S21","genename"
"SL1344_0722",193,304,246,"cydA"
"SL1344_3872",224,224,294,"rep"
"SL1344_4118",219,252,269,"aceB"
"SL1344_4369",239,276,223,"cybC"
"SL1344_0400",219,277,241,"tgt"
"SL1344_3804",228,257,249,"dnaN"
"SL1344_2452",218,266,249,"dapA"
"SL1344_2517",246,265,222,"glyA"
"SL1344_3160",248,239,245,"tolC"
"SL1344_2984",255,226,250,"ygdQ"
"SL1344_3039",230,271,229,"rpiA"
"SL1344_1148",235,265,227,"ndh"
"SL1344_3319",218,259,248,"yhcB"
"RdlD",310,146,269,"RdlD"
"SL1344_0941",250,246,226,"pncB"
"SL1344_1855",294,210,218,"cheW"
"SL1344_4410",218,258,246,"yjgQ"
"SL1344_2484",205,273,242,"hisS"
"SL1344_1844",226,246,247,"argS"
"SL1344_2623",250,218,251,"yfiO"
"SL1344_0731",229,277,212,"pal"
"SL1344_4179",238,212,268,"yjbN"
"SL1344_3155",229,253,235,"parE"
"SL1344_3805",240,260,217,"dnaA"
"SL1344_0191",196,266,252,"mrcB"
"SL1344_3690",222,232,260,"kdtA"
"SL1344_4297",227,256,231,"hflK"
"SL1344_3877",254,230,227,"rfe"
"SL1344_1517",226,222,259,"SL1344_1517"
"SL1344_3906",227,261,219,"corA"
"SL1344_4030",234,269,204,"tpiA"
"SL1344_3847",224,241,240,"kup"
"SL1344_3553",245,217,242,"yhiN"
"SL1344_3669",275,248,181,"yibN"
"SL1344_3083",217,255,228,"yggL"
"SL1344_3148",224,225,251,"parC"
"SL1344_1120",270,197,230,"flgK"
"SL1344_0485",202,228,265,"ybaL"
"SL1344_3844",203,230,260,"asnA"
"SL1344_0002",228,232,231,"thrA"
"SL1344_0442",240,239,206,"clpP"
"SL1344_0497",253,243,189,"ybbN"
"SL1344_0395",203,237,243,"proY"
"SL1344_0962",272,215,196,"SL1344_0962"
"SL1344_1986",247,169,266,"amn"
"SL1344_2356",200,230,252,"sixA"
"SL1344_3371",236,221,222,"smg"
"SL1344_3674",224,258,197,"tdh"
"SL1344_1633",205,210,261,"rnb"
"SL1344_1001",223,197,255,"rlmL"
"SL1344_1123",211,224,240,"rluC"
"SL1344_2097",203,224,246,"asmA"
"SL1344_0625",237,225,210,"dacA"
"SL1344_3410",254,193,225,"bfr"
"SL1344_3373",193,249,229,"def"
"SL1344_0828",219,214,233,"rimO"
"SL1344_2058",235,240,191,"gnd"
"SL1344_3279",214,216,234,"murA"
"StyR-296",255,198,209,"StyR-296"
"SL1344_3857",238,212,209,"yieP"
"SL1344_2506",273,152,232,"yfhP"
"SL1344_4268",222,231,203,"yjeI"
"SL1344_3927",236,207,210,"tatA"
"SL1344_4367",207,210,235,"yjgA"
"SL1344_3937",211,239,201,"pepQ"
"SL1344_4157",203,205,242,"pgi"
"SL1344_3534",208,224,217,"ftsX"
"SL1344_4281",206,229,213,"yjeA"
"SL1344_2756",166,157,324,"fljB"
"SL1344_2263",224,201,221,"yfaZ"
"SL1344_1735",224,210,211,"dsbB"
"SL1344_2132",211,209,225,"metG"
"SL1344_3376",207,219,219,"sapG"
"SL1344_3696",243,196,205,"dfp"
"SL1344_0312",205,217,221,"pepD"
"SL1344_1712",231,219,193,"ychF"
"SL1344_2102",185,228,230,"yegD"
"SL1344_2593",244,205,191,"SL1344_2593"
"SL1344_0313",200,212,227,"gpt"
"SL1344_0471",201,229,209,"aefA"
"SL1344_2471",183,241,215,"guaA"
"SL1344_3878",215,205,219,"wzzE"
"SL1344_2625",208,226,202,"pheA"
"SL1344_1833",203,212,219,"ruvC"
"SL1344_1898",234,204,196,"fliF"
"SL1344_4113",218,202,213,"hydG"
"SL1344_0411",207,190,235,"ribH"
"SL1344_0723",170,258,202,"cydB"
"SL1344_2292",210,216,203,"nuoG"
"SL1344_3064",233,161,235,"yqgD"
"SL1344_1088",188,243,197,"mdoH"
"SL1344_4264",234,195,197,"fxsA"
"SL1344_3954",188,218,219,"glnA"
"SL1344_1024",188,195,240,"yccK"
"SL1344_1410",185,230,206,"pntB"
"SL1344_2650",211,207,203,"ffh"
"SL1344_3864",163,228,230,"ilvD"
"SL1344_4080",230,193,198,"murI"
"SL1344_2177",183,225,212,"lysP"
"SL1344_2802",196,211,211,"luxS"
"SL1344_3984",222,222,174,"fdoG"
"SL1344_1707",217,175,223,"ipk"
"SL1344_3314",203,210,202,"sspA"
"SroA",224,239,151,"SroA"
"SL1344_3628",199,202,211,"bax"
"SL1344_0394",213,187,211,"brnQ"
"SL1344_2390",195,226,190,"lig"
"SL1344_3562",177,218,216,"gor"
"SL1344_3271",197,223,189,"greA"
"SL1344_4042",203,197,209,"ftsN"
"SL1344_0252",199,210,199,"SL1344_0252"
"SL1344_1849",243,166,199,"flhB"
"SL1344_1140",172,240,195,"ptsG"
"SL1344_3375",196,197,214,"fmu"
"SL1344_4041",245,183,179,"hslV"
"SL1344_0942",214,179,213,"SL1344_0942"
"SL1344_0892",221,178,206,"SL1344_0892"
"SL1344_1407",170,218,217,"ydgI"
"SL1344_3046",219,174,212,"epd"
"SL1344_0133",197,212,194,"ftsZ"
"SL1344_0440",227,179,196,"bolA"
"SL1344_1159",193,222,187,"potD"
"SL1344_0588",224,162,215,"cstAa"
"SL1344_0616",205,182,214,"pagP"
"SL1344_3132",233,179,189,"exbD"
"SL1344_3536",203,205,193,"ftsY"
"SL1344_3946",208,194,198,"yihG"
"SL1344_1087",186,183,230,"mdoG"
"SL1344_3905",202,178,218,"uvrD"
"SL1344_0464",192,135,268,"ylaC"
"SL1344_4082",184,190,221,"birA"
"SL1344_1965",225,175,194,"SL1344_1965"
"SL1344_2499",221,179,192,"yfhJ"
"SL1344_3460",205,189,198,"mrcA"
"SL1344_2485",196,203,192,"gcpE"
"SL1344_3369",187,185,219,"yrdC"
"SL1344_3433",176,213,201,"crp"
"SL1344_3666",185,210,195,"gpsA"
"SL1344_0621",210,209,170,"lipA"
"SL1344_0921",198,191,200,"msbA"
"SL1344_3700",177,218,194,"rph"
"SL1344_4339",248,165,176,"ytfK"
"SL1344_2472",191,212,185,"guaB"
"SL1344_2660",191,175,220,"smpB"
"SL1344_3776",217,205,164,"hslT"
"SL1344_4048",203,192,189,"metJ"
"SL1344_4056",134,198,250,"katG"
"SL1344_0216",221,174,186,"map"
"SL1344_4409",180,200,201,"yjgP"
"SL1344_3133",202,179,199,"exbB"
"IsrK",170,169,241,"IsrK"
"SL1344_0251",167,183,228,"yafC"
"SL1344_0050",186,230,161,"ispH"
"SL1344_3272",201,178,195,"dacB"
"STnc2070",263,128,180,"STnc2070"
"SL1344_1384",168,187,215,"tppB"
"SL1344_3556",165,220,185,"uspA"
"SL1344_3416",254,155,160,"yheL"
"SL1344_1506",216,167,185,"SL1344_1506"
