"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_3094",-0.501856854182948,4.53335225780856,2.10516304174181,0.156035068790712,0.992378856146764,0.992378856146764
"uxuB",-0.561781482027664,4.20914446019521,2.1758387432975,0.149462257361773,0.992378856146764,0.992378856146764
"SL1344_3115",-0.416801653387388,4.63721269965984,2.10024885402392,0.156504632259972,0.992378856146764,0.992378856146764
"hybE",0.773089772688249,3.58831399458258,2.27433660497393,0.140836857970924,0.992378856146764,0.992378856146764
"yqiB",0.231001029522109,6.57514353918674,1.98272148387057,0.168249827044193,0.992378856146764,0.992378856146764
"ygiB",-0.249533284283321,6.06577259438267,1.81423881274001,0.186976370475053,0.992378856146764,0.992378856146764
"folB",0.293842763400649,6.30394548116445,2.06267442554137,0.160150736071823,0.992378856146764,0.992378856146764
"rpoD",-0.188427354627452,9.48566631842749,2.04252656454181,0.162147221441915,0.992378856146764,0.992378856146764
"yqjC",0.340769407613743,5.99986604511761,2.24485849445856,0.143355558547797,0.992378856146764,0.992378856146764
"yqjK",0.245043607201684,6.96569289154896,1.6925566741836,0.202077344931655,0.992378856146764,0.992378856146764
"garK",0.586457313873615,4.91464777199218,2.12577562358699,0.154083518603129,0.992378856146764,0.992378856146764
"gatD",0.459165541720005,4.13849727495861,1.79591733004754,0.18916036428501,0.992378856146764,0.992378856146764
"yhbV",1.41613364235017,3.2568155653679,2.07749710559213,0.158700511146954,0.992378856146764,0.992378856146764
"rbfA",-0.239830045229157,6.48281687707173,1.90252928757572,0.176868053236303,0.992378856146764,0.992378856146764
"secG",-0.163127556504017,11.0569898880071,1.72490509909775,0.197922630897753,0.992378856146764,0.992378856146764
"folP",-0.23962463785347,6.72323255498545,1.68418509473725,0.203169836819397,0.992378856146764,0.992378856146764
"ftsJ",-0.197991489771998,8.27833245060902,1.73999854987807,0.196019692882105,0.992378856146764,0.992378856146764
"greA",-0.231964533571428,7.69628216030119,1.83566052818127,0.184461283432769,0.992378856146764,0.992378856146764
"ispB",-0.191695900780964,8.21211901637379,2.34052527316755,0.135367548497841,0.992378856146764,0.992378856146764
"yhbG",0.264722010178629,6.85314950217207,1.88572103994054,0.17874080895845,0.992378856146764,0.992378856146764
"SL1344_3315",0.428023515844911,4.88233002369989,1.7688045893404,0.19244920426936,0.992378856146764,0.992378856146764
"yhdU",-0.264052151456798,6.04788892636192,1.90391864070359,0.176714308196456,0.992378856146764,0.992378856146764
"yheL",-0.295084596452183,7.46634977050314,1.8200969234619,0.18754895136287,0.992378856146764,0.992378856146764
"yheO",-0.256575498544639,6.74480087579682,2.06289397542492,0.160129141489915,0.992378856146764,0.992378856146764
"slyX",-0.239654863712747,7.45438612802335,1.68340299318124,0.203272269137246,0.992378856146764,0.992378856146764
"pabA",-0.30732706188673,5.58789211110558,1.74291635503232,0.195654393883784,0.992378856146764,0.992378856146764
"cysG",-0.211464668493745,6.5776983936404,2.26491656894287,0.141636062494201,0.992378856146764,0.992378856146764
"gph",0.209606087029609,6.57723652039364,1.84347787255416,0.183553630750144,0.992378856146764,0.992378856146764
"aroB",-0.195776014486209,8.99154132401643,2.12468482464314,0.154186068239651,0.992378856146764,0.992378856146764
"greB",-0.313122594234345,6.00101220002641,2.26123437972993,0.141949904355349,0.992378856146764,0.992378856146764
"rtcB",0.337533416819638,5.70821767532548,2.05356846622591,0.16104943082361,0.992378856146764,0.992378856146764
"glgB",0.416638216576093,7.68936738487342,1.9827911346258,0.171100228127337,0.992378856146764,0.992378856146764
"zntA",-0.314423807152303,5.7573096936929,1.87206853449188,0.180279487467245,0.992378856146764,0.992378856146764
"acpT",-0.235086392786158,6.80400313838483,1.89527684268663,0.177673212270915,0.992378856146764,0.992378856146764
"yhiI",0.417866756445675,5.29812087184968,2.41929452270404,0.129178059198951,0.992378856146764,0.992378856146764
"SL1344_3565",-0.512031702629921,3.93665024131297,1.90562135285667,0.17652610534799,0.992378856146764,0.992378856146764
"SL1344_3602",0.229973074372239,6.66973839014859,2.06839458565391,0.15958923400331,0.992378856146764,0.992378856146764
"lpfC",-0.429011218769933,5.95153519507386,2.32273184301897,0.136813112022361,0.992378856146764,0.992378856146764
"tag",-0.235080274903364,5.69354576132935,1.83243452241244,0.184837422554472,0.992378856146764,0.992378856146764
"SL1344_3617",0.385648603264313,5.41493769826688,1.94315394506115,0.172437870771157,0.992378856146764,0.992378856146764
"malS",0.403851065731094,5.2484880744558,1.83871998015625,0.184105415537596,0.992378856146764,0.992378856146764
"yiaJ",-0.29044063288331,5.69842957753866,1.93271850484589,0.173563078432607,0.992378856146764,0.992378856146764
"SL1344_3644",0.692755338860284,4.57659156150299,2.2945145798562,0.139656314300319,0.992378856146764,0.992378856146764
"mtlA",-0.339659052905205,5.63160954226146,1.99991727414456,0.166467584924566,0.992378856146764,0.992378856146764
"sadA",0.26682265002776,7.29569198213327,2.22825128982111,0.144797749875149,0.992378856146764,0.992378856146764
"cysE",0.252250052106733,6.8007294590516,2.21353590725571,0.146089884668221,0.992378856146764,0.992378856146764
"cigR",0.322815554273044,6.96745880329746,2.3447217186762,0.135029222567641,0.992378856146764,0.992378856146764
"SL1344_3738",-0.230075166246801,6.61964397120635,1.7210791837019,0.198408556041743,0.992378856146764,0.992378856146764
"SL1344_3767",-0.275801812380491,6.46898403023665,2.30937915761929,0.137909735140047,0.992378856146764,0.992378856146764
"ccmH1",0.676604372292158,3.6039191075543,2.17874651155224,0.149198896507929,0.992378856146764,0.992378856146764
"dgoD",0.746839136757715,3.9852315994076,1.9688663376324,0.169702381974299,0.992378856146764,0.992378856146764
"dgoR",-0.554959768966168,4.2349084634973,1.83383333364914,0.184674213481583,0.992378856146764,0.992378856146764
"yidC",-0.203116550449888,9.02381746226381,1.72688469772054,0.197671772858952,0.992378856146764,0.992378856146764
"pstC",-0.308059571331625,5.69561971713537,1.69096647023432,0.202284313819457,0.992378856146764,0.992378856146764
"atpE",0.225473965025521,8.6417681014518,1.68439946001227,0.203141772279163,0.992378856146764,0.992378856146764
"atpI",-0.180329521949692,8.42221056165999,1.98667630541163,0.167837929680492,0.992378856146764,0.992378856146764
"rbsR",0.269110080797302,7.96789057813321,2.21872767001717,0.145632465820302,0.992378856146764,0.992378856146764
"yieP",0.225939859447098,8.50593768476341,1.87181051921811,0.180308719366267,0.992378856146764,0.992378856146764
"ilvG",-0.245076439227636,8.93243623338246,1.93753491760556,0.173042658861774,0.992378856146764,0.992378856146764
"rffE",0.202068548265297,7.23097601724303,2.01316511178235,0.165109829736399,0.992378856146764,0.992378856146764
"hemY",-0.202791033872274,7.05003134065905,2.08585451428133,0.157889690234054,0.992378856146764,0.992378856146764
"yigG",-0.742220082241223,3.56414578201593,2.28760149203126,0.139720376318702,0.992378856146764,0.992378856146764
"metR",-0.365788698734627,5.24064817772558,2.10243305315354,0.15629572051078,0.992378856146764,0.992378856146764
"yigN",-0.252905420181508,6.47606962620396,1.99408157385962,0.167069890242612,0.992378856146764,0.992378856146764
"SL1344_3934",0.188737027718005,7.79428092956481,2.07878577837422,0.158575165720888,0.992378856146764,0.992378856146764
"yihD",0.243528620721732,7.24381443322793,2.04570415238908,0.161830397439503,0.992378856146764,0.992378856146764
"typA",-0.163424378727013,10.1571614774619,2.12697711197879,0.153970655795262,0.992378856146764,0.992378856146764
"yihO",0.562717771536348,7.56876972314074,2.03675834061011,0.166252091710016,0.992378856146764,0.992378856146764
"yihQ",0.404680039366274,5.27365785353709,1.73640797844867,0.196470357940717,0.992378856146764,0.992378856146764
"yihW",-0.227785052747779,6.92851162429507,2.32401740261338,0.136708070070193,0.992378856146764,0.992378856146764
"fdhE",-0.248590736454306,7.34116009596558,2.31784798107172,0.13721302727803,0.992378856146764,0.992378856146764
"fdoH",0.305296955891807,6.29807538003442,1.85558266947,0.182158757520014,0.992378856146764,0.992378856146764
"SL1344_3991",-0.27520177502413,6.50293604567729,2.32880156270386,0.136317985982208,0.992378856146764,0.992378856146764
"SL1344_3993",0.649282924524923,3.92482842997623,2.36663181533828,0.133278699912439,0.992378856146764,0.992378856146764
"rhaA",0.714256141212071,3.59890811666858,1.86436884637811,0.181154281497991,0.992378856146764,0.992378856146764
"fieF",0.220033942655854,7.52570039135189,1.97700869263095,0.168846946185824,0.992378856146764,0.992378856146764
"SL1344_4014",0.601965356480012,4.61876821013422,2.0519087948818,0.161213872052604,0.992378856146764,0.992378856146764
"SL1344_4020",-0.595378234346202,4.1537591328582,2.044668626745,0.161933564659973,0.992378856146764,0.992378856146764
"menA",-0.203466473158778,7.00742065237719,2.0542981455728,0.16097719668189,0.992378856146764,0.992378856146764
"ftsN",-0.213905443584929,8.1314537552841,2.0401003819131,0.162389621374176,0.992378856146764,0.992378856146764
"metJ",-0.223927731646324,7.62711160875883,1.93111605752026,0.173736639594239,0.992378856146764,0.992378856146764
"SL1344_4051",-0.389393006571216,4.9253580076144,1.87989001919511,0.179396045947685,0.992378856146764,0.992378856146764
"metF",-0.332921117331281,5.62544278723628,2.17989172323177,0.149095322807988,0.992378856146764,0.992378856146764
"frwC",0.962153208524786,4.67010480962637,2.00165072351017,0.166920510427382,0.992378856146764,0.992378856146764
"nusG",-0.184208510103063,10.3005635871318,1.81480772667815,0.186909042551075,0.992378856146764,0.992378856146764
"hydH",0.208885837106637,7.8463986390301,1.86529022316691,0.181049331725459,0.992378856146764,0.992378856146764
"SL1344_4137",-0.568164033696072,4.18066112078895,1.79829331284027,0.188875404840745,0.992378856146764,0.992378856146764
